Team Name,Team ID,Team Name Link,League Code,League,Region
AGMK,20913,agmk,afc.champions,AFC Champions League,Asia
Ahal,21010,ahal,afc.champions,AFC Champions League,Asia
Air Force Club,20912,air-force-club,afc.champions,AFC Champions League,Asia
Al Duhail,12008,al-duhail,afc.champions,AFC Champions League,Asia
Al Fayha,21827,al-fayha,afc.champions,AFC Champions League,Asia
Al Hilal,929,al-hilal,afc.champions,AFC Champions League,Asia
Al Ittihad,2276,al-ittihad,afc.champions,AFC Champions League,Asia
Al Nassr,817,al-nassr,afc.champions,AFC Champions League,Asia
Al Sadd,7135,al-sadd,afc.champions,AFC Champions League,Asia
Al-Ain,7128,al-ain,afc.champions,AFC Champions League,Asia
Al-Faisaly,21024,al-faisaly,afc.champions,AFC Champions League,Asia
BG Pathum United,8519,bg-pathum-united,afc.champions,AFC Champions League,Asia
Bangkok United,7522,bangkok-united,afc.champions,AFC Champions League,Asia
Buriram United,7138,buriram-united,afc.champions,AFC Champions League,Asia
Hanoi,21011,hanoi,afc.champions,AFC Champions League,Asia
Incheon United,21923,incheon-united,afc.champions,AFC Champions League,Asia
Istiklol,20861,istiklol,afc.champions,AFC Champions League,Asia
Jeonbuk Motors,7119,jeonbuk-motors,afc.champions,AFC Champions League,Asia
Johor Darul Ta'zim,17689,johor-darul-tazim,afc.champions,AFC Champions League,Asia
Kawasaki Frontale,7112,kawasaki-frontale,afc.champions,AFC Champions League,Asia
Kaya,20980,kaya,afc.champions,AFC Champions League,Asia
Kitchee,17686,kitchee,afc.champions,AFC Champions League,Asia
Lion City Sailors,8040,lion-city-sailors,afc.champions,AFC Champions League,Asia
Melbourne City FC,11143,melbourne-city-fc,afc.champions,AFC Champions League,Asia
Mumbai City FC,18002,mumbai-city-fc,afc.champions,AFC Champions League,Asia
Nasaf Quarshi,8217,nasaf-quarshi,afc.champions,AFC Champions League,Asia
Nassaji Mazandaran,22006,nassaji-mazandaran,afc.champions,AFC Champions League,Asia
Navbahor,22005,navbahor,afc.champions,AFC Champions League,Asia
Pakhtakor Tashkent,7123,pakhtakor-tashkent,afc.champions,AFC Champions League,Asia
Persepolis,18461,persepolis,afc.champions,AFC Champions League,Asia
Pohang Steelers,9693,pohang-steelers,afc.champions,AFC Champions League,Asia
Sepahan,7526,sepahan,afc.champions,AFC Champions League,Asia
Shandong Taishan,7521,shandong-taishan,afc.champions,AFC Champions League,Asia
Sharjah,8371,sharjah,afc.champions,AFC Champions League,Asia
Ulsan Hyundai,7120,ulsan-hyundai,afc.champions,AFC Champions League,Asia
Urawa Red Diamonds,3385,urawa-red-diamonds,afc.champions,AFC Champions League,Asia
Ventforet Kofu,7103,ventforet-kofu,afc.champions,AFC Champions League,Asia
Wuhan Three Towns,21506,wuhan-three-towns,afc.champions,AFC Champions League,Asia
Yokohama F. Marinos,7116,yokohama-f-marinos,afc.champions,AFC Champions League,Asia
Zhejiang Professional FC,18203,zhejiang-professional-fc,afc.champions,AFC Champions League,Asia
Abdysh-Ata,22000,abdysh-ata,afc.cup,AFC Cup,Asia
Al Ahed,21007,al-ahed,afc.cup,AFC Cup,Asia
Al Ittihad Ahli Aleppo,21996,al-ittihad-ahli-aleppo,afc.cup,AFC Cup,Asia
Al Kahrabaa,21995,al-kahrabaa,afc.cup,AFC Cup,Asia
Al Wehdat,20860,al-wehdat,afc.cup,AFC Cup,Asia
Al-Arabi,21437,al-arabi,afc.cup,AFC Cup,Asia
Al-Nahda Muscat Club,21994,al-nahda-muscat-club,afc.cup,AFC Cup,Asia
Al-Riffa,8697,al-riffa,afc.cup,AFC Cup,Asia
Altyn Asyr,21029,altyn-asyr,afc.cup,AFC Cup,Asia
Bali United,17733,bali-united,afc.cup,AFC Cup,Asia
Bashundara Kings,21012,bashundara-kings,afc.cup,AFC Cup,Asia
C.P.K.,21431,cpk,afc.cup,AFC Cup,Asia
Central Coast Mariners,5325,central-coast-mariners,afc.cup,AFC Cup,Asia
Dynamic Herb Cebu,21999,dynamic-herb-cebu,afc.cup,AFC Cup,Asia
Futuwa,21993,futuwa,afc.cup,AFC Cup,Asia
Hai Phong,22001,hai-phong,afc.cup,AFC Cup,Asia
Hougang United,17736,hougang-united,afc.cup,AFC Cup,Asia
Jabal Al Mukaber,21992,jabal-al-mukaber,afc.cup,AFC Cup,Asia
Kuwait SC,21008,kuwait-sc,afc.cup,AFC Cup,Asia
Macarthur FC,19340,macarthur-fc,afc.cup,AFC Cup,Asia
Maziya,21014,maziya,afc.cup,AFC Cup,Asia
Merw,22004,merw,afc.cup,AFC Cup,Asia
Mohun Bagan Super Giant,20774,mohun-bagan-super-giant,afc.cup,AFC Cup,Asia
Nejmeh,21442,nejmeh,afc.cup,AFC Cup,Asia
Odisha FC,17998,odisha-fc,afc.cup,AFC Cup,Asia
PSM Makassar,8112,psm-makassar,afc.cup,AFC Cup,Asia
Phnom Penh Crown,21432,phnom-penh-crown,afc.cup,AFC Cup,Asia
Ravshan Kulob,21027,ravshan-kulob,afc.cup,AFC Cup,Asia
Sabah,20298,sabah,afc.cup,AFC Cup,Asia
Shan United,22003,shan-united,afc.cup,AFC Cup,Asia
Stallion Laguna,21997,stallion-laguna,afc.cup,AFC Cup,Asia
Taichung Futuro,21998,taichung-futuro,afc.cup,AFC Cup,Asia
Tainan City,21018,tainan-city,afc.cup,AFC Cup,Asia
Terengganu,8830,terengganu,afc.cup,AFC Cup,Asia
Ulaanbaatar,22002,ulaanbaatar,afc.cup,AFC Cup,Asia
Zawra,7528,zawra,afc.cup,AFC Cup,Asia
Argentinos Juniors,3,argentinos-juniors,arg.1,Argentine Liga Profesional de Fútbol,South America
Atlético Tucumán,9785,atletico-tucuman,arg.1,Argentine Liga Profesional de Fútbol,South America
Banfield,235,banfield,arg.1,Argentine Liga Profesional de Fútbol,South America
Barracas Central,10060,barracas-central,arg.1,Argentine Liga Profesional de Fútbol,South America
Belgrano (Córdoba),4,belgrano-cordoba,arg.1,Argentine Liga Profesional de Fútbol,South America
Boca Juniors,5,boca-juniors,arg.1,Argentine Liga Profesional de Fútbol,South America
Central Córdoba (Santiago del Estero),11989,central-cordoba-santiago-del-estero,arg.1,Argentine Liga Profesional de Fútbol,South America
Defensa y Justicia,8950,defensa-y-justicia,arg.1,Argentine Liga Profesional de Fútbol,South America
Deportivo Riestra,17702,deportivo-riestra,arg.1,Argentine Liga Profesional de Fútbol,South America
Estudiantes de La Plata,8,estudiantes-de-la-plata,arg.1,Argentine Liga Profesional de Fútbol,South America
Gimnasia La Plata,9,gimnasia-la-plata,arg.1,Argentine Liga Profesional de Fútbol,South America
