Team Name,Team ID,Team Name Link,League Code
AGMK,20913,agmk,afc.champions
Ahal,21010,ahal,afc.champions
Air Force Club,20912,air-force-club,afc.champions
Al Duhail,12008,al-duhail,afc.champions
Al Fayha,21827,al-fayha,afc.champions
Al Hilal,929,al-hilal,afc.champions
Al Ittihad,2276,al-ittihad,afc.champions
Al Nassr,817,al-nassr,afc.champions
Al Sadd,7135,al-sadd,afc.champions
Al-Ain,7128,al-ain,afc.champions
Al-Faisaly,21024,al-faisaly,afc.champions
BG Pathum United,8519,bg-pathum-united,afc.champions
Bangkok United,7522,bangkok-united,afc.champions
Buriram United,7138,buriram-united,afc.champions
Hanoi,21011,hanoi,afc.champions
Incheon United,21923,incheon-united,afc.champions
Istiklol,20861,istiklol,afc.champions
Jeonbuk Motors,7119,jeonbuk-motors,afc.champions
Johor Darul Ta'zim,17689,johor-darul-tazim,afc.champions
Kawasaki Frontale,7112,kawasaki-frontale,afc.champions
Kaya,20980,kaya,afc.champions
Kitchee,17686,kitchee,afc.champions
Lion City Sailors,8040,lion-city-sailors,afc.champions
Melbourne City FC,11143,melbourne-city-fc,afc.champions
Mumbai City FC,18002,mumbai-city-fc,afc.champions
Nasaf Quarshi,8217,nasaf-quarshi,afc.champions
Nassaji Mazandaran,22006,nassaji-mazandaran,afc.champions
Navbahor,22005,navbahor,afc.champions
Pakhtakor Tashkent,7123,pakhtakor-tashkent,afc.champions
Persepolis,18461,persepolis,afc.champions
Pohang Steelers,9693,pohang-steelers,afc.champions
Sepahan,7526,sepahan,afc.champions
Shandong Taishan,7521,shandong-taishan,afc.champions
Sharjah,8371,sharjah,afc.champions
Ulsan Hyundai,7120,ulsan-hyundai,afc.champions
Urawa Red Diamonds,3385,urawa-red-diamonds,afc.champions
Ventforet Kofu,7103,ventforet-kofu,afc.champions
Wuhan Three Towns,21506,wuhan-three-towns,afc.champions
Yokohama F. Marinos,7116,yokohama-f-marinos,afc.champions
Zhejiang Professional FC,18203,zhejiang-professional-fc,afc.champions
Abdysh-Ata,22000,abdysh-ata,afc.cup
Al Ahed,21007,al-ahed,afc.cup
Al Ittihad Ahli Aleppo,21996,al-ittihad-ahli-aleppo,afc.cup
Al Kahrabaa,21995,al-kahrabaa,afc.cup
Al Wehdat,20860,al-wehdat,afc.cup
Al-Arabi,21437,al-arabi,afc.cup
Al-Nahda Muscat Club,21994,al-nahda-muscat-club,afc.cup
Al-Riffa,8697,al-riffa,afc.cup
Altyn Asyr,21029,altyn-asyr,afc.cup
Bali United,17733,bali-united,afc.cup
Bashundara Kings,21012,bashundara-kings,afc.cup
C.P.K.,21431,cpk,afc.cup
Central Coast Mariners,5325,central-coast-mariners,afc.cup
Dynamic Herb Cebu,21999,dynamic-herb-cebu,afc.cup
Futuwa,21993,futuwa,afc.cup
Hai Phong,22001,hai-phong,afc.cup
Hougang United,17736,hougang-united,afc.cup
Jabal Al Mukaber,21992,jabal-al-mukaber,afc.cup
Kuwait SC,21008,kuwait-sc,afc.cup
Macarthur FC,19340,macarthur-fc,afc.cup
Maziya,21014,maziya,afc.cup
Merw,22004,merw,afc.cup
Mohun Bagan Super Giant,20774,mohun-bagan-super-giant,afc.cup
Nejmeh,21442,nejmeh,afc.cup
Odisha FC,17998,odisha-fc,afc.cup
PSM Makassar,8112,psm-makassar,afc.cup
